Sample.ID,BCL11A,IGF1R,SLC22A5,LFNG,BRCA2,CCND1,MARCH6,SCAMP4,CDK6,PDLIM4,EZH2,PSMD10,TRABD,TEX14,SLC25A1,CDC5L,TSPAN2,RPS6KA5,SNTB1,BRCA1,TMBIM1,MDP-1,ZNF570,FLJ10213,IWS1,ADRA2C,C9orf21,CHCHD1,CEBPE,SFTPD,TTC31,C15orf29,WDR40B,HOXD10,EIF5B,SCMH1,ISLR,FLJ30092,RRM2B,CCDC69,ADCY4,SERPINI2,RAB42,FLJ20489,ADMR,HRH1,MRCL3,ARHGAP29,YTHDC2,CST9L,BRCA_Subtype_PAM50
TCGA-A2-A0CV,-0.4943571428571429,0.8724375,0.6395,0.9365,-1.91025,-0.568583333333333,-1.0295,0.387375,-2.2623,-0.447,-2.4276666666666697,0.0815,-0.0606,-1.517375,-1.0205,-0.77825,1.9969999999999999,1.8981,-2.206,-2.7660833333333303,0.33075,-0.3795,0.1185,-1.40825,-0.7695,-2.24316666666667,0.4143333333333329,0.113875,0.9065,1.32075,-0.52875,0.674375,0.0610833333333333,0.3528333333333329,-0.3679,0.5555,3.78675,-0.26,0.6575,0.002625,3.9330000000000003,0.4955,-0.98225,0.74425,0.395,-0.182166666666667,1.159,1.477375,-0.147625,-1.10633333333333,LumA
TCGA-A2-A0CW,-1.94935714285714,-0.4289375,1.7965,1.600625,1.213,-0.868833333333333,-0.166166666666667,0.366625,-2.8444,-0.46675,-1.02273333333333,-0.92925,-0.0385,-0.62175,-0.4181666666666671,-0.15725,0.42700000000000005,-0.3963,-2.502,-1.23758333333333,-0.38475,0.07675,-0.45299999999999996,-1.6219999999999999,-0.24266666666666697,0.852,-1.10766666666667,0.810625,0.46,0.91125,-0.53275,0.5425,0.41116666666666707,-1.00216666666667,0.2013,-0.6955,3.7510000000000003,1.09283333333333,0.22583333333333303,-0.588625,3.34816666666667,0.152,-0.09175,0.529625,0.36,0.315,1.34166666666667,0.332875,1.361875,-0.03925,LumB
TCGA-A2-A0CX,-2.75975,-1.8393125,0.64175,1.963375,-0.02325,-1.31575,0.8865,0.353375,-2.539,-0.073,-1.52973333333333,-0.13175,-0.3618,-0.9537142857142858,0.1465,0.109,1.5163333333333302,0.5665,-1.3719999999999999,-1.4499166666666699,-0.006999999999999979,-1.3205,0.1315,-1.521,0.23766666666666697,-2.51616666666667,-0.5226666666666671,0.559375,0.9079999999999999,-0.3775,-0.35600000000000004,0.09725,0.7487272727272729,2.00016666666667,0.8649,0.601,3.6465,0.329666666666667,0.3788333333333329,-0.4735,2.6605,-0.2535,0.3035,-0.226,0.77,0.5595,1.242,-0.09375,0.1885,0.0245,Her2
TCGA-A2-A0CY,2.16378571428571,0.998875,1.10075,3.411125,-0.9485,0.1415,-0.135083333333333,0.8220000000000001,-4.0149,0.6365,-1.03493333333333,-1.31425,1.2659,0.0141428571428572,-0.41100000000000003,-0.2415,-0.7165,-0.0257,2.303,-1.94125,-0.51275,-0.76025,0.057,0.063,-1.3926666666666698,-2.64916666666667,-0.922166666666667,-0.379625,1.1885,1.67825,-0.272,-0.42525,0.275416666666667,1.9376666666666698,-0.3849,3.22875,4.31075,0.47183333333333294,-0.5398333333333329,-0.30725,2.63433333333333,-0.349,-1.79975,0.236375,0.5720000000000001,1.53666666666667,0.3375,-1.129375,-0.97625,-0.46625,LumB
TCGA-A2-A0D0,1.7927857142857098,0.264875,0.27375,0.6315,0.34075,-0.770083333333333,0.646416666666667,0.207875,-0.4342,-0.54,-0.267666666666667,-1.33425,0.1862,-1.1775,-0.44799999999999995,-0.1365,0.42,0.5286,-1.32475,-0.3826666666666671,-0.2745,-1.935,0.4525,-1.59625,2.22083333333333,-2.54883333333333,-0.309833333333333,0.0495,3.6995,0.6045,0.58025,0.121375,1.2013636363636397,-0.0476666666666667,1.1162,1.53225,2.69625,-0.4198333333333329,0.21466666666666698,-0.8465,2.3345,-1.26,-1.805,-0.096375,0.61,-0.871333333333333,0.5101666666666671,1.0170000000000001,-1.210375,-0.55425,Basal
TCGA-A2-A0D1,-3.8157142857142903,-2.89175,0.6125,3.995375,-0.8145,-0.281,1.50991666666667,0.991375,-3.9324,-1.59675,-0.7223333333333329,-0.44575,0.5367,-1.253375,-0.40299999999999997,-0.2145,-1.01733333333333,-0.0968,-0.52525,-1.6614166666666699,-1.7415,-0.42100000000000004,-0.7275,-0.958,-0.11599999999999999,1.17066666666667,-1.6905,0.3495,-1.0845,0.47675,-0.129,0.25675,0.0235,2.4290000000000003,-0.1546,0.3415,3.79075,-0.138166666666667,1.276,-0.77475,4.0285,-0.23800000000000002,-0.8115,0.139125,0.2045,-0.415666666666667,0.20516666666666697,3.8795,0.29825,-1.19433333333333,Her2
TCGA-A2-A0D2,0.5973571428571429,-0.556625,-0.0825,0.1235,-0.35825,-1.30275,-0.43741666666666706,0.3185,-0.1016,-0.07675,0.0959333333333333,-0.343,-0.0474,0.157125,-0.4365,0.013999999999999999,2.8331666666666697,-0.7142,-2.2235,-2.56666666666667,0.193375,-0.84225,0.125,-1.3159999999999998,-0.620333333333333,-3.3510000000000004,0.3908333333333329,0.083625,2.073,-0.27225,-0.8645,-0.2775,0.37275,0.930666666666667,-0.1598,1.2429999999999999,3.45575,-0.5685,-0.244,-0.149125,3.7598333333333303,0.1065,-0.94,0.299125,0.311,-0.880833333333333,2.1191666666666698,1.808625,-0.10525,-1.37325,Basal
TCGA-A2-A0D3,-1.59635714285714,0.1145,0.8290000000000001,1.308375,-1.474,-1.28558333333333,-0.31991666666666696,0.937375,-3.5431,-0.391,-2.2607333333333304,-0.328,0.4097,-0.94175,-0.5125,-0.49775,0.3625,1.3964,-2.97675,-2.42741666666667,-0.249375,-0.59675,0.314,-1.05175,-0.33533333333333304,-3.5515,-0.5411666666666671,0.03475,-0.21100000000000002,1.5719999999999998,-0.26975,0.75425,0.0581666666666667,-0.43700000000000006,0.2113,0.0455,3.6985,0.28433333333333305,0.548833333333333,-0.355125,2.8405,1.392,-2.10675,0.86275,0.28800000000000003,-0.634666666666667,0.3976666666666671,0.99825,0.109625,-0.91275,LumA
TCGA-A2-A0D4,-2.07957142857143,1.558375,3.07775,2.315875,-0.06875,2.16075,0.4929166666666671,0.652125,-2.8935,-0.76525,-0.8162,0.000499999999999987,0.0313,-0.279125,-0.8009999999999999,-0.183,-0.39883333333333293,0.5775,-1.6380000000000001,-0.19375,0.688375,1.24875,-0.45399999999999996,-1.2655,-0.24916666666666698,0.0855,-1.68816666666667,-0.15,0.13699999999999998,0.88725,0.1,0.180625,4.1709166666666695,1.35166666666667,0.3718,-0.37475,3.36975,0.728,2.11016666666667,-0.633125,3.70866666666667,-0.322,-1.00025,0.5035,0.465,-1.25633333333333,0.3325,-0.25175,0.77725,5.9565,LumB
TCGA-A2-A0EM,-2.5780714285714303,1.472125,1.198,1.821875,-2.52775,0.4438333333333329,-0.260666666666667,0.7120000000000001,-2.8842,0.8925,-1.4783333333333302,0.06425,0.0525,1.37875,-0.8105,-0.61525,0.572166666666667,1.0743,-1.5815,-2.12066666666667,0.142125,0.015,-0.575,-0.71375,-0.554833333333333,-3.09666666666667,-0.813333333333333,-0.171875,-0.6715,0.96425,-0.62675,0.244625,0.688333333333333,0.7133333333333329,-0.04,-0.01925,3.4560000000000004,-0.1075,0.4368333333333329,-0.576875,3.6733333333333302,-1.4380000000000002,-1.53,0.52025,0.2195,-1.03216666666667,0.890333333333333,0.39625,-0.003375,6.19375,LumA
